google_id,title,authors,publication_date,genres
6UFXCmR0rHcC,China Yearbook,Unknown,1974,China
C-2vBYKpe20C,Journal of Education,Unknown,1928,Education
N4DtNd1Nh38C,Manual of Library Economy,American Library Association,1916,Library science
aSz03yCAmc4C,The Accountant,Unknown,1913,Accounting
8ILPTq89Tk0C,Texas Legislators News Digest,Unknown,1963,Libraries
d0TGHlY8bmgC,Introduction to Research,"Walther G. Prausnitz, Armour H. Nelson",1959,Report writing
lFR30LdlfI4C,The Outlook,Unknown,1919,Unknown
v1yagUgcK44C,Journal of the American Medical Association,American Medical Association,1912,Electronic journals
I0_-r7f5klwC,Reports of the Minister of Education,Ontario. Department of Education,1911,Unknown
bUKWYSiFpC0C,Journal of Housing Economics,Unknown,1996,Housing
37I_sGBiRw4C,History of Medieval Philosophy,Maurice Wulf,1926,"Philosophy, Medieval"
J2qp1fvl6kgC,Dictionary Catalog of the Map Division,New York Public Library. Map Division,1971,Dictionary catalogs
excyDl-2r7sC,Chemical Abstracts,Unknown,1920,Chemistry
ky8DLbXoZI8C,The Radio Dealer,Unknown,1926,Radio
QZ4Ec9Ge7bUC,"Commentary on books II-V: Corinth, Laconia, Messenia, Elis",Pausanias,1913,Greece
3DHcbGaARKMC,United States Official Postal Guide,Unknown,1916,Postal service
toUrsa6NTGYC,Horati carminum,Horace,1900,Unknown
bqdTmrsnKCEC,The New York State Exhibitor ...,Unknown,1929,Motion pictures
L7Q2b6yZbYwC,The Missionary Review of the World,Unknown,1903,Missions
hG1VNVcjYIUC,The Parliamentary Debates (Hansard).,Great Britain. Parliament. House of Lords,1999,Great Britain
22qf8q0UlM4C,Library Office Notes,University of Illinois at Urbana-Champaign. Library,1980,Academic libraries
Qdejb7r1xikC,Minutes of State Board of Education,California. State Board of Education,1964,Education
e0HPjRsOb7MC,Kansas,Unknown,1976,Kansas
4O9Zn5ngWiUC,Stock Investing For Dummies,Paul Mladjenovic,2002,Business & Economics
2-uC9e0C_2gC,The Delineator,Unknown,1908,Dressmaking
YbBqtM4I3XcC,Municipal Engineering,Unknown,1902,Municipal engineering
SlBqQ8ZsE5EC,Use of the Library by Graduate Students,Peyton Hurt,1933,Academic libraries
fkO4UJ7kOlUC,Business,Unknown,1910,Accounting
jp_F0fVdJzQC,Economic Perspectives,Unknown,1981,Banks and banking
qQXSvpQKeocC,The American Printer,Unknown,1917,Bookbinding
0O2egpmdSJ4C,Yearbook Architecture,Unknown,1951,College yearbooks
KTR9TptKB_cC,Sunset,Unknown,1925,California
Spe3p7USi-oC,Antiques,Unknown,1926,Antiques
aqzBXni4jvEC,Dictionary Catalogue of the Illinois State Library,Illinois State Library,1912,"Catalogs, Dictionary"
dSzHnI1QGywC,Thinking in C++,Bruce Eckel,2000,Computers
sDSRn2tocvMC,Journal of the House of Delegates of the Commonwealth of Virginia,Virginia. General Assembly. House of Delegates,1932,Virginia
qfHJq7rx0bwC,"Philippine Holdings in the Library of Congress, 1960-1987",Library of Congress,1993,Philippines
